steps,episodes,elapsed,mean,median,stdev,max,min,average_q,average_loss,cumulative_steps,n_updates,rlen
201067,67,6495.703816413879,-1.2999999970197678,-1.2999999970197678,0.0,-1.2999999970197678,-1.2999999970197678,nan,3.7674632906913756,201067,45266,200000
204068,68,6597.05332159996,-0.09999998658895493,-0.09999998658895493,0.0,-0.09999998658895493,-0.09999998658895493,nan,3.768294153213501,204068,46017,200000
207069,69,6699.971223831177,0.7000000178813934,0.7000000178813934,0.0,0.7000000178813934,0.7000000178813934,nan,3.7684728860855103,207069,46767,200000
210070,70,6802.664062976837,-0.6999999955296516,-0.6999999955296516,0.0,-0.6999999955296516,-0.6999999955296516,nan,3.7681725072860717,210070,47517,200000
213071,71,6904.974809646606,2.2351741790771484e-08,2.2351741790771484e-08,0.0,2.2351741790771484e-08,2.2351741790771484e-08,nan,3.7678804850578307,213071,48267,200000
216072,72,7006.973618507385,1.0000000149011612,1.0000000149011612,0.0,1.0000000149011612,1.0000000149011612,nan,3.7685210061073304,216072,49018,200000
219073,73,7108.7411460876465,0.9000000134110451,0.9000000134110451,0.0,0.9000000134110451,0.9000000134110451,nan,3.7682274198532104,219073,49768,200000
222074,74,7211.296200990677,-0.29999998956918716,-0.29999998956918716,0.0,-0.29999998956918716,-0.29999998956918716,nan,3.768106989860535,222074,50518,200000
225075,75,7312.796595096588,2.2351741790771484e-08,2.2351741790771484e-08,0.0,2.2351741790771484e-08,2.2351741790771484e-08,nan,3.7429690980911254,225075,51268,200000
228076,76,7414.668044805527,1.0000000149011612,1.0000000149011612,0.0,1.0000000149011612,1.0000000149011612,nan,3.743004620075226,228076,52019,200000
231077,77,7516.797340631485,1.0000000149011612,1.0000000149011612,0.0,1.0000000149011612,1.0000000149011612,nan,3.7418823885917663,231077,52769,200000
234078,78,7619.033667802811,0.9000000283122063,0.9000000283122063,0.0,0.9000000283122063,0.9000000283122063,nan,3.74307101726532,234078,53519,200000
237079,79,7721.26366186142,-0.19999995082616806,-0.19999995082616806,0.0,-0.19999995082616806,-0.19999995082616806,nan,3.74242755651474,237079,54269,200000
240080,80,7824.178124189377,2.0000000298023224,2.0000000298023224,0.0,2.0000000298023224,2.0000000298023224,nan,3.7432289361953734,240080,55020,200000
243081,81,7926.526285648346,0.6000000163912773,0.6000000163912773,0.0,0.6000000163912773,0.6000000163912773,nan,3.7428375005722048,243081,55770,200000
246082,82,8028.395047664642,-0.29999998211860657,-0.29999998211860657,0.0,-0.29999998211860657,-0.29999998211860657,nan,3.742995011806488,246082,56520,200000
249083,83,8130.988165616989,0.800000011920929,0.800000011920929,0.0,0.800000011920929,0.800000011920929,nan,3.742786982059479,249083,57270,200000
252084,84,8234.085301399231,0.9000000506639481,0.9000000506639481,0.0,0.9000000506639481,0.9000000506639481,nan,3.742531020641327,252084,58021,200000
255085,85,8337.118849277496,-2.5999999940395355,-2.5999999940395355,0.0,-2.5999999940395355,-2.5999999940395355,nan,3.74267724275589,255085,58771,200000
258086,86,8440.386071681976,-0.4999999925494194,-0.4999999925494194,0.0,-0.4999999925494194,-0.4999999925494194,nan,3.716612811088562,258086,59521,200000
261087,87,8544.087956666946,1.0000000149011612,1.0000000149011612,0.0,1.0000000149011612,1.0000000149011612,nan,3.716878855228424,261087,60271,200000
264088,88,8647.81342792511,-0.3999999910593033,-0.3999999910593033,0.0,-0.3999999910593033,-0.3999999910593033,nan,3.716319828033447,264088,61022,200000
267089,89,8748.653967618942,-0.3999999910593033,-0.3999999910593033,0.0,-0.3999999910593033,-0.3999999910593033,nan,3.716861758232117,267089,61772,200000
270090,90,8851.230665445328,-3.5999999940395355,-3.5999999940395355,0.0,-3.5999999940395355,-3.5999999940395355,nan,3.7167926049232483,270090,62522,200000
273091,91,8953.88897061348,-0.4999999925494194,-0.4999999925494194,0.0,-0.4999999925494194,-0.4999999925494194,nan,3.7162924075126647,273091,63272,200000
276092,92,9056.233590364456,-0.4999999925494194,-0.4999999925494194,0.0,-0.4999999925494194,-0.4999999925494194,nan,3.7164687275886537,276092,64023,200000
279093,93,9158.243903875351,-1.9999999850988388,-1.9999999850988388,0.0,-1.9999999850988388,-1.9999999850988388,nan,3.716712157726288,279093,64773,200000
282094,94,9261.159359455109,-0.19999998807907104,-0.19999998807907104,0.0,-0.19999998807907104,-0.19999998807907104,nan,3.7169816303253174,282094,65523,200000
285095,95,9363.935225725174,-1.1999999806284904,-1.1999999806284904,0.0,-1.1999999806284904,-1.1999999806284904,nan,3.715972032546997,285095,66273,200000
288096,96,9465.871010065079,1.0,1.0,0.0,1.0,1.0,nan,3.71023638010025,288096,67024,200000
291097,97,9569.038854837418,-0.4999999925494194,-0.4999999925494194,0.0,-0.4999999925494194,-0.4999999925494194,nan,3.6905897498130797,291097,67774,200000
294098,98,9672.354954481125,0.5000000074505806,0.5000000074505806,0.0,0.5000000074505806,0.5000000074505806,nan,3.6902806162834167,294098,68524,200000
297099,99,9774.19991183281,-0.3999999910593033,-0.3999999910593033,0.0,-0.3999999910593033,-0.3999999910593033,nan,3.690376567840576,297099,69274,200000
300100,100,9876.465861082077,-0.4999999925494194,-0.4999999925494194,0.0,-0.4999999925494194,-0.4999999925494194,nan,3.690700361728668,300100,70025,200000
303101,101,9979.312188148499,-0.19999995082616806,-0.19999995082616806,0.0,-0.19999995082616806,-0.19999995082616806,nan,3.6897850036621094,303101,70775,200000
